time_s,mean_C,loss_per_initial_dry_mass,steps,iterations,rejections,min_dt,max_dt,max_scaled_residual,damped_iterations,water_balance_residual
1.000000000000000000e+00,2.549799185373551769e+00,2.008146264488723282e-04,7.670000000000000000e+02,2.301000000000000000e+03,0.000000000000000000e+00,9.455820322605834605e-04,1.306417437433842876e-03,1.806658577481496197e-05,0.000000000000000000e+00,8.881784197001252323e-16
2.000000000000000000e+00,2.549599697162944878e+00,1.994882106048280089e-04,7.650000000000000000e+02,2.294000000000000000e+03,0.000000000000000000e+00,2.314077469209863125e-04,1.310771640691535053e-03,1.794042128555964761e-05,0.000000000000000000e+00,-1.332267629550187849e-15
3.000000000000000000e+00,2.549401066891961776e+00,1.986302709846585548e-04,7.620000000000000000e+02,2.286000000000000000e+03,0.000000000000000000e+00,8.442663736127897778e-04,1.315127299536650394e-03,1.777905111647144824e-05,0.000000000000000000e+00,4.440892098500626162e-16
4.000000000000000000e+00,2.549203127300734728e+00,1.979395912258604816e-04,7.600000000000000000e+02,2.279000000000000000e+03,0.000000000000000000e+00,1.583038754802146286e-04,1.319495858000961684e-03,1.789347256274453018e-05,0.000000000000000000e+00,-8.881784197001252323e-16
5.000000000000000000e+00,2.549005781723258313e+00,1.973455774772473110e-04,7.570000000000000000e+02,2.271000000000000000e+03,0.000000000000000000e+00,8.082069472932218446e-04,1.323865813789441891e-03,1.814711024580003540e-05,0.000000000000000000e+00,0.000000000000000000e+00
6.000000000000000000e+00,2.548808964939841992e+00,1.968167834163295779e-04,7.550000000000000000e+02,2.264000000000000000e+03,0.000000000000000000e+00,1.506587592938757325e-04,1.328248725283260288e-03,1.779220089689071820e-05,0.000000000000000000e+00,0.000000000000000000e+00
7.000000000000000000e+00,2.548612629073238267e+00,1.963358665996990475e-04,7.520000000000000000e+02,2.256000000000000000e+03,0.000000000000000000e+00,8.378374397306487253e-04,1.332632975454379424e-03,1.800960202565998557e-05,0.000000000000000000e+00,-3.996802888650563546e-15
8.000000000000000000e+00,2.548416737030071211e+00,1.958920431705970622e-04,7.500000000000000000e+02,2.249000000000000000e+03,0.000000000000000000e+00,2.089060681651488949e-04,1.337030237788779672e-03,1.800158579938293893e-05,0.000000000000000000e+00,-4.440892098500626162e-16
9.000000000000000000e+00,2.548221258968665026e+00,1.954780614037698600e-04,7.470000000000000000e+02,2.241000000000000000e+03,0.000000000000000000e+00,9.335914993258143113e-04,1.341428779768792483e-03,1.786552441433368030e-05,0.000000000000000000e+00,-3.108624468950438313e-15
1.000000000000000000e+01,2.548026170203359531e+00,1.950887653092758312e-04,7.450000000000000000e+02,2.234000000000000000e+03,0.000000000000000000e+00,3.334794337206403725e-04,1.345840390743034774e-03,1.773477642548578392e-05,0.000000000000000000e+00,8.881784197001252323e-16
1.100000000000000000e+01,2.547831449870205045e+00,1.947203331502677683e-04,7.420000000000000000e+02,2.226000000000000000e+03,0.000000000000000000e+00,1.095902736004461531e-03,1.350253221945178859e-03,1.801120636846554354e-05,0.000000000000000000e+00,-3.552713678800500929e-15
1.200000000000000000e+01,2.547637080031646128e+00,1.943698385570062040e-04,7.400000000000000000e+02,2.219000000000000000e+03,0.000000000000000000e+00,5.248124490169203682e-04,1.354679179346713822e-03,1.778076357879019269e-05,0.000000000000000000e+00,-5.329070518200751394e-15
1.300000000000000000e+01,2.547443045050195920e+00,1.940349814528783247e-04,7.370000000000000000e+02,2.211000000000000000e+03,0.000000000000000000e+00,1.325204721183581569e-03,1.359106297171213101e-03,1.732643326575389458e-05,0.000000000000000000e+00,-2.664535259100375697e-15
1.400000000000000000e+01,2.547249331134772810e+00,1.937139154182772392e-04,7.350000000000000000e+02,2.205000000000000000e+03,0.000000000000000000e+00,7.833386684321652638e-04,1.363546598775683318e-03,1.792764706103755959e-05,0.000000000000000000e+00,-7.549516567451064475e-15
1.500000000000000000e+01,2.547055926003942261e+00,1.934051308311427223e-04,7.330000000000000000e+02,2.198000000000000000e+03,0.000000000000000000e+00,2.539369007248382104e-04,1.367994086471051871e-03,1.739889016021761660e-05,0.000000000000000000e+00,-6.661338147750939243e-15
1.600000000000000000e+01,2.546862818628709224e+00,1.931073752344516711e-04,7.300000000000000000e+02,2.190000000000000000e+03,0.000000000000000000e+00,1.109491607047985440e-03,1.372442644180998450e-03,1.789284421140667364e-05,0.000000000000000000e+00,-5.329070518200751394e-15
1.700000000000000000e+01,2.546669999033166043e+00,1.928195955402973592e-04,7.280000000000000000e+02,2.183000000000000000e+03,0.000000000000000000e+00,6.096105541821827956e-04,1.376904472816850751e-03,1.769634055676247918e-05,0.000000000000000000e+00,-8.437694987151189707e-15
1.800000000000000000e+01,2.546477458136939820e+00,1.925408962256306518e-04,7.260000000000000000e+02,2.177000000000000000e+03,0.000000000000000000e+00,1.223312546123622724e-04,1.381373486050352936e-03,1.760002556198038634e-05,0.000000000000000000e+00,-8.881784197001252323e-15
1.900000000000000000e+01,2.546285187628482216e+00,1.922705084583777784e-04,7.230000000000000000e+02,2.169000000000000000e+03,0.000000000000000000e+00,1.033546816167074667e-03,1.385843478011679602e-03,1.793323772528044249e-05,0.000000000000000000e+00,-7.993605777301127091e-15
2.000000000000000000e+01,2.546093179862524369e+00,1.920077659579657616e-04,7.210000000000000000e+02,2.162000000000000000e+03,0.000000000000000000e+00,5.760846762079552263e-04,1.390326828897570696e-03,1.778545141210910520e-05,0.000000000000000000e+00,-7.993605777301127091e-15
2.100000000000000000e+01,2.545901427775510317e+00,1.917520870125292379e-04,7.190000000000000000e+02,2.156000000000000000e+03,0.000000000000000000e+00,1.313617420990453866e-04,1.394817362875726014e-03,1.781539993542718752e-05,0.000000000000000000e+00,-9.325873406851314940e-15
2.200000000000000000e+01,2.545709924815227065e+00,1.915029602826471254e-04,7.160000000000000000e+02,2.148000000000000000e+03,0.000000000000000000e+00,1.098736512993525594e-03,1.399308783412512528e-03,1.745260062820051445e-05,0.000000000000000000e+00,-1.021405182655144017e-14
2.300000000000000000e+01,2.545518664882071569e+00,1.912599331547461484e-04,7.140000000000000000e+02,2.141000000000000000e+03,0.000000000000000000e+00,6.841271470996446169e-04,1.403813651729326388e-03,1.789596464313128419e-05,0.000000000000000000e+00,-1.110223024625156540e-14
2.400000000000000000e+01,2.545327642279213709e+00,1.910226028565449867e-04,7.120000000000000000e+02,2.135000000000000000e+03,0.000000000000000000e+00,2.823944236993725099e-04,1.408325701620884206e-03,1.723402290189065137e-05,0.000000000000000000e+00,-1.243449787580175325e-14
2.500000000000000000e+01,2.545136851670052991e+00,1.907906091582113215e-04,7.090000000000000000e+02,2.127000000000000000e+03,0.000000000000000000e+00,1.306426690462103579e-03,1.412838545015372054e-03,1.797375316645243197e-05,0.000000000000000000e+00,-1.465494392505206633e-14
2.600000000000000000e+01,2.544946288041761040e+00,1.905636282907473755e-04,7.070000000000000000e+02,2.121000000000000000e+03,0.000000000000000000e+00,9.351039071425759630e-04,1.417364925906232712e-03,1.781297697292782154e-05,0.000000000000000000e+00,-1.598721155460225418e-14
2.700000000000000000e+01,2.544755946673930680e+00,1.903413678272834015e-04,7.050000000000000000e+02,2.114000000000000000e+03,0.000000000000000000e+00,5.767951870794263414e-04,1.421898486842186138e-03,1.796284537723221827e-05,0.000000000000000000e+00,-1.909583602355269250e-14
2.800000000000000000e+01,2.544565823111134328e+00,1.901235627934908423e-04,7.030000000000000000e+02,2.108000000000000000e+03,0.000000000000000000e+00,2.315439402522656565e-04,1.426439227343353610e-03,1.783226063521570198e-05,0.000000000000000000e+00,-2.176037128265306819e-14
