time_s,time_h,row_kind,r=0 cm,r=0.5 cm,r=1 cm,r=1.5 cm,r=2 cm
21600.0,6.0,regular_6h,1.0170,0.9881,0.9015,0.7550,0.5328
43200.0,12.0,regular_6h,0.4561,0.4432,0.4031,0.3297,0.1642
64800.0,18.0,regular_6h,0.2988,0.2915,0.2687,0.2253,0.0845
86400.0,24.0,regular_6h,0.2378,0.2327,0.2167,0.1855,0.0665
108000.0,30.0,regular_6h,0.2058,0.2018,0.1892,0.1641,0.0598
129600.0,36.0,regular_6h,0.1859,0.1825,0.1718,0.1504,0.0566
151200.0,42.0,regular_6h,0.1721,0.1691,0.1597,0.1407,0.0549
172800.0,48.0,regular_6h,0.1618,0.1592,0.1507,0.1334,0.0537
194400.0,54.0,regular_6h,0.1539,0.1514,0.1436,0.1277,0.0530
206900.44921875,57.472347005208334,endpoint,0.1500,0.1477,0.1402,0.1249,0.0527
