parameter,label,level,k_scale,d_scale,h_scale,hm_scale,temp_offset_c,finish_time_h
baseline,基准,base,1.0,1.0,1.0,1.0,0.0,57.621761067708334
k_scale,导热系数 k,low,0.9,1.0,1.0,1.0,0.0,57.62327473958333
k_scale,导热系数 k,high,1.1,1.0,1.0,1.0,0.0,57.620524088541664
d_scale,扩散系数 D,low,1.0,0.9,1.0,1.0,0.0,63.30226236979167
d_scale,扩散系数 D,high,1.0,1.1,1.0,1.0,0.0,52.996988932291664
h_scale,换热系数 h,low,1.0,1.0,0.9,1.0,0.0,57.63048502604167
h_scale,换热系数 h,high,1.0,1.0,1.1,1.0,0.0,57.6146484375
hm_scale,传质系数 h_m,low,1.0,1.0,1.0,0.9,0.0,58.347330729166664
hm_scale,传质系数 h_m,high,1.0,1.0,1.0,1.1,0.0,57.053873697916664
temp_offset_c,环境温度 T∞,low,1.0,1.0,1.0,1.0,-2.0,61.551822916666666
temp_offset_c,环境温度 T∞,high,1.0,1.0,1.0,1.0,2.0,54.029134114583336
